structure_number,county,county_fips,owner_code,owner,facility_carried,feature_intersected,location,route_prefix,route_number,functional_class,lat,lon,coord_note,year_built,year_reconstructed,age_yrs,material,structure_type_code,service_under,over_water,n_main_spans,structure_len_m,deck_width_m,adt,adt_year,deck_cond,superstructure_cond,substructure_cond,culvert_cond,channel_cond,waterway_adequacy,scour_critical,condition,lowest_rating,fhwa_condition,condition_color,work_proposed_code,work_proposed,replacement_proposed,year_of_improvement,improvement_cost_k,inspection_date,nbi_year,parse_notes
000000000000619,Ouachita,103,1,State Highway Agency,SH 376 S-0 LM 1.32,SMACKOVER CREEK REL,1.32 MI NW JCT SH 7,3,,08,33.402050,-92.807122,,1928,1960,96,Concrete,04,Waterway,1,2,18.3,9.6,410,2018,7,6,6,,6,6,5,Fair,6,Fair,#f9a825,,,0,,,1223,2024,
000000000000620,Ouachita,103,1,State Highway Agency,SH 376 S-0 LM 3.87,DRY CREEK,3.88 MI NO JCT SH 7,3,,08,33.431142,-92.828378,,1928,1960,96,Concrete,04,Waterway,1,1,10.7,12.8,390,2018,7,7,7,,6,6,5,Good,7,Good,#2e7d32,,,0,,,1223,2024,
000000000000621,Ouachita,103,1,State Highway Agency,SH 376-S-0 LM 10.1,MILL CREEK,1.28 MI SOUTH JCT SH 7,3,,08,33.516528,-92.827881,,1928,,96,Concrete,04,Waterway,1,2,18.3,7.0,250,2018,7,7,7,,7,7,5,Good,7,Good,#2e7d32,31,Replacement because of substandard load capacity or structural condition,1,,260,1223,2024,
000000000000279,Pike,109,4,City or Municipal Highway Agency,OLD HWY 70,CANEY CREEK (city),.22 M E OF US 70,5,,09,34.338269,-93.501214,,1928,,96,Concrete,11,Waterway,1,1,47.5,6.4,275,2018,6,5,5,,7,7,5,Fair,5,Fair,#f9a825,,,0,,,322,2024,
000000000000284,Pike,109,1,State Highway Agency,US 70 SEC.04-15.20,BEAR CREEK,2 MI WEST OF KIRBY,2,,06,34.249247,-93.676689,,1929,1955,95,Steel,02,Waterway,1,1,37.2,9.7,2500,2018,7,6,6,,7,7,8,Fair,6,Fair,#f9a825,31,Replacement because of substandard load capacity or structural condition,1,,501,1122,2024,
000000000000286,Pike,109,1,State Highway Agency,US 70 - 04 - 1.89,FALLEN CREEK,1 MI WEST NEWHOPE,2,,06,34.224961,-93.895103,,1955,,69,Concrete,01,Waterway,1,3,22.9,9.7,1500,2018,7,7,6,,7,7,8,Fair,6,Fair,#f9a825,,,0,,,722,2024,
000000000000410,Pike,109,2,County Highway Agency,C.R 518- C -0.15,ANTOINE CREEK,.15 MI NO JCT US HWY 70,4,,09,34.284119,-93.632500,,1928,,96,Concrete,04,Waterway,1,1,10.4,7.0,113,2018,7,7,7,,7,7,8,Good,7,Good,#2e7d32,,,0,,,1122,2024,
000000000000573,Poinsett,111,1,State Highway Agency,SH 463-02-LM 11.02,DITCH 24,1 MI NO JCT SH 14,3,,07,35.557931,-90.501992,,1928,1939,96,Concrete,04,Waterway,1,2,18.3,10.1,500,2018,6,6,6,,6,9,5,Fair,6,Fair,#f9a825,,,0,,,1123,2024,
000000000000574,Poinsett,111,1,State Highway Agency,US 463-02-LM 10.02,DITCH 26,2 MI NO JCT SH 14,3,,07,35.572450,-90.501953,,1928,1939,96,Concrete,04,Waterway,1,2,18.3,10.1,500,2018,6,6,6,,7,9,5,Fair,6,Fair,#f9a825,31,Replacement because of substandard load capacity or structural condition,1,,306,822,2024,
000000000000579,Poinsett,111,1,State Highway Agency,SH  14-14- LM 8.72,DITCH 11,JCT SH 373 & 14,3,,06,35.547378,-90.599922,,1951,,73,Steel,02,Waterway,1,4,42.1,8.1,2600,2018,6,6,6,,6,9,5,Fair,6,Fair,#f9a825,31,Replacement because of substandard load capacity or structural condition,1,,533,522,2024,
000000000000581,Poinsett,111,1,State Highway Agency,SH 14-13- LM 8.69,BRUSHY CREEK,2.55 MI E JCT US 49,3,,06,35.565250,-90.885222,,1961,,63,Concrete,01,Waterway,1,3,22.9,9.6,2999,2018,6,6,6,,6,8,5,Fair,6,Fair,#f9a825,,,0,,,224,2024,
000000000000582,Poinsett,111,1,State Highway Agency,SH 14-13- LM 13.53,LANGUILLE RELIEF,4.2 MI W JCT SH 1,3,,06,35.564639,-90.799369,,1961,,63,Concrete,01,Relief for waterway,1,3,22.9,9.6,3000,2018,7,7,6,,7,8,5,Fair,6,Fair,#f9a825,,,0,,,124,2024,
000000000000599,Poinsett,111,1,State Highway Agency,SH 14-13- LM 7.14,DITCH,0.9MI E OF JCT US 49,3,,06,35.565350,-90.912650,,1961,,63,Concrete,01,Waterway,1,2,15.2,9.6,2999,2018,7,7,6,,7,8,5,Fair,6,Fair,#f9a825,,,0,,,224,2024,
000000000000496,Randolph,121,1,State Highway Agency,US  67-19- LM 7.31,CURRENT RELIEF,7.25 MI NE JCT US 62 & 67,2,,02,36.298100,-90.868911,,1928,1955,96,Concrete,04,Relief for waterway,1,5,46.4,9.6,6600,2018,7,5,6,,7,8,5,Fair,5,Fair,#f9a825,,,0,,,124,2024,
000000000000497,Randolph,121,1,State Highway Agency,US  67-19- LM 6.56,SALLEE SLOUGH,6.50 MI NE JCT US 62 & 67,2,,02,36.296269,-90.882042,,1928,1955,96,Concrete,04,Waterway,1,4,37.2,9.6,6600,2018,7,6,6,,7,9,5,Fair,6,Fair,#f9a825,,,0,,,124,2024,
000000000000498,Randolph,121,1,State Highway Agency,US  67-19- LM 6.48,LEIBHABER SLOUGH,6.42 MI NE JCT US 62 & 67,2,,02,36.295972,-90.883431,,1928,1955,96,Concrete,04,Waterway,1,4,37.2,9.6,6600,2018,7,5,6,,7,9,5,Fair,5,Fair,#f9a825,,,0,,,124,2024,
000000000000499,Randolph,121,1,State Highway Agency,US  67-19- LM 6.14,Pheffer Bottom,6.08 MI NE JCT US 62 & 67,2,,02,36.293831,-90.889008,,1928,1955,96,Concrete,04,Waterway,1,4,37.2,9.6,6600,2018,8,6,6,,7,9,5,Fair,6,Fair,#f9a825,,,0,,,124,2024,
000000000000500,Randolph,121,1,State Highway Agency,US  67-19- LM 5.63,BEAVER DITCH,5.57 MI NE JCT US 62 & 67,2,,02,36.290989,-90.897347,,1928,1955,96,Concrete,04,Waterway,1,4,37.2,9.6,6600,2018,7,6,6,,7,8,5,Fair,6,Fair,#f9a825,,,0,,,124,2024,
000000000000501,Randolph,121,1,State Highway Agency,US 67-19- LM 4.85,MULE DITCH,4.79 MI NE JCT US 62 & 67,2,,02,36.285350,-90.909364,,1928,1955,96,Concrete,04,Waterway,1,3,28.0,9.6,6600,2018,7,7,6,,7,9,5,Fair,6,Fair,#f9a825,,,0,,,523,2024,
000000000000502,Randolph,121,1,State Highway Agency,US 67-19- LM 4.21,THROGMORTON CREEK,4.15 MI NE JCT US 62 & 67,2,,02,36.278692,-90.917161,,1928,1955,96,Concrete,04,Waterway,1,2,19.0,9.6,6600,2018,7,6,6,,7,9,5,Fair,6,Fair,#f9a825,,,0,,,523,2024,
000000000000503,Randolph,121,1,State Highway Agency,US 67-19- LM 3.23,FOURCHE RELIEF,3.17 MI NE JCT US 62 & 67,2,,02,36.282361,-90.933022,,1928,1955,96,Concrete,04,Relief for waterway,1,4,37.2,9.6,6600,2018,7,7,6,,7,9,5,Fair,6,Fair,#f9a825,31,Replacement because of substandard load capacity or structural condition,1,,1023,523,2024,
000000000000504,Randolph,121,1,State Highway Agency,US 67-19- LM 2.96,FRISCO CREEK,2.90 MI NE JCT US 62 & 67,2,,02,36.283981,-90.937425,,1928,1955,96,Concrete,04,Waterway,1,4,37.2,9.6,6600,2018,7,5,5,,7,8,5,Fair,5,Fair,#f9a825,31,Replacement because of substandard load capacity or structural condition,1,,1023,523,2024,
000000000000505,Randolph,121,1,State Highway Agency,US 67-19- LM 2.70,CR PETTET,2.64 MI NE JCT US 62 & 67,2,,14,36.283650,-90.941933,,1928,1955,96,Concrete,04,Waterway,1,5,46.3,9.6,5819,2018,7,7,5,,7,9,5,Fair,5,Fair,#f9a825,31,Replacement because of substandard load capacity or structural condition,1,,1131,523,2024,
000000000000506,Randolph,121,1,State Highway Agency,US 67-19- LM 2.57,CROOKED CREEK,2.51 MI NE JCT US 62 & 67,2,,14,36.283231,-90.944253,,1928,1955,96,Concrete,04,Waterway,1,3,28.0,9.6,5819,2018,7,5,5,,7,9,8,Fair,5,Fair,#f9a825,31,Replacement because of substandard load capacity or structural condition,1,,705,523,2024,
000000000000507,Randolph,121,1,State Highway Agency,US 67-19- LM 1.79,Hamil Creek,1.79 Mi N Jct US67/62,2,,14,36.276292,-90.954339,,1928,1955,96,Concrete,04,Waterway,1,2,18.9,9.6,5819,2018,7,7,7,,7,9,5,Good,7,Good,#2e7d32,31,Replacement because of substandard load capacity or structural condition,1,,622,523,2024,
