job_id,index_year,source_url,filename,id_url_mismatch,first_seen,last_fetched,sha256,http_status,fetch_note
100914,2017,https://media.ark.org/ardot/100914env.pdf,100914env.pdf,0,2026-09-14,,,,
100915,2017,https://media.ark.org/ardot/100915env.pdf,100915env.pdf,0,2026-09-14,,,,
100916,2017,https://media.ark.org/ardot/100916env.pdf,100916env.pdf,0,2026-09-14,,,,
100921,2017,https://media.ark.org/ardot/100921env.pdf,100921env.pdf,0,2026-09-14,,,,
100922,2017,https://media.ark.org/ardot/100922env.pdf,100922env.pdf,0,2026-09-14,,,,
100923,2017,https://media.ark.org/ardot/100923env.pdf,100923env.pdf,0,2026-09-14,,,,
100928,2017,https://media.ark.org/ardot/100928env.pdf,100928env.pdf,0,2026-09-14,,,,
100938,2017,https://media.ark.org/ardot/100938env.pdf,100938env.pdf,0,2026-09-14,,,,
100940,2017,https://media.ark.org/ardot/100940env.pdf,100940env.pdf,0,2026-09-14,,,,
100943,2017,https://media.ark.org/ardot/100943env.pdf,100943env.pdf,0,2026-09-14,,,,
100956,2017,https://media.ark.org/ardot/100956env.pdf,100956env.pdf,0,2026-09-14,,,,
100963,2017,https://media.ark.org/ardot/100963env.pdf,100963env.pdf,0,2026-09-14,,,,
110661,2017,https://media.ark.org/ardot/110661env.pdf,110661env.pdf,0,2026-09-14,,,,
BB0116,2017,https://media.ark.org/ardot/BB0116env.pdf,BB0116env.pdf,0,2026-09-14,,,,
BB0203,2017,https://media.ark.org/ardot/BB0203env.pdf,BB0203env.pdf,0,2026-09-14,,,,
BB0620,2017,https://media.ark.org/ardot/BB0620env.pdf,BB0620env.pdf,0,2026-09-14,,,,
BR0405,2017,https://media.ark.org/ardot/BR0405env.pdf,BR0405env.pdf,0,2026-09-14,,,,
BR3714,2017,https://media.ark.org/ardot/BR3714env.pdf,BR3714env.pdf,0,2026-09-14,,,,
BR6507,2017,https://media.ark.org/ardot/BR6507env.pdf,BR6507env.pdf,0,2026-09-14,,,,
C03004,2017,https://media.ark.org/ardot/C03004env.pdf,C03004env.pdf,0,2026-09-14,,,,
CA0702,2017,https://media.ark.org/ardot/CA0702env.pdf,CA0702env.pdf,0,2026-09-14,,,,
CA0906,2017,https://media.ark.org/ardot/CA0906env.pdf,CA0906env.pdf,0,2026-09-14,,,,
012215,2018,https://media.ark.org/ardot/012215env.pdf,012215env.pdf,0,2026-09-14,,,,
012274,2018,https://media.ark.org/ardot/012274env.pdf,012274env.pdf,0,2026-09-14,,,,
012295,2018,https://media.ark.org/ardot/012295env.pdf,012295env.pdf,0,2026-09-14,,,,
012296,2018,https://media.ark.org/ardot/012296env.pdf,012296env.pdf,0,2026-09-14,,,,
012297,2018,https://media.ark.org/ardot/012297env.pdf,012297env.pdf,0,2026-09-14,,,,
020581,2018,https://media.ark.org/ardot/020581env.pdf,020581env.pdf,0,2026-09-14,,,,
020583,2018,https://media.ark.org/ardot/020583env.pdf,020583env.pdf,0,2026-09-14,,,,
020584,2018,https://media.ark.org/ardot/020584env.pdf,020584env.pdf,0,2026-09-14,,,,
020586,2018,https://media.ark.org/ardot/020586env.pdf,020586env.pdf,0,2026-09-14,,,,
020587,2018,https://media.ark.org/ardot/020587env.pdf,020587env.pdf,0,2026-09-14,,,,
020616,2018,https://media.ark.org/ardot/020616env.pdf,020616env.pdf,0,2026-09-14,,,,
020618,2018,https://media.ark.org/ardot/020618env.pdf,020618env.pdf,0,2026-09-14,,,,
020620,2018,https://media.ark.org/ardot/020620env.pdf,020620env.pdf,0,2026-09-14,,,,
020621,2018,https://media.ark.org/ardot/020621env.pdf,020621env.pdf,0,2026-09-14,,,,
020622,2018,https://media.ark.org/ardot/020622env.pdf,020622env.pdf,0,2026-09-14,,,,
020624,2018,https://media.ark.org/ardot/020624env-.pdf,020624env-.pdf,0,2026-09-14,,,,
020625,2018,https://media.ark.org/ardot/020625env.pdf,020625env.pdf,0,2026-09-14,,,,
020627,2018,https://media.ark.org/ardot/020627env.pdf,020627env.pdf,0,2026-09-14,,,,
020632,2018,https://media.ark.org/ardot/020632env.pdf,020632env.pdf,0,2026-09-14,,,,
020643,2018,https://media.ark.org/ardot/020643env.pdf,020643env.pdf,0,2026-09-14,,,,
020645,2018,https://media.ark.org/ardot/020645env.pdf,020645env.pdf,0,2026-09-14,,,,
020646,2018,https://media.ark.org/ardot/020646env.pdf,020646env.pdf,0,2026-09-14,,,,
020659,2018,https://media.ark.org/ardot/020659env.pdf,020659env.pdf,0,2026-09-14,,,,
020660,2018,https://media.ark.org/ardot/020660env.pdf,020660env.pdf,0,2026-09-14,,,,
020663,2018,https://media.ark.org/ardot/020663env.pdf,020663env.pdf,0,2026-09-14,,,,
020664,2018,https://media.ark.org/ardot/020664env.pdf,020664env.pdf,0,2026-09-14,,,,
030479,2018,https://media.ark.org/ardot/030479env.pdf,030479env.pdf,0,2026-09-14,,,,
030482,2018,https://media.ark.org/ardot/030482env.pdf,030482env.pdf,0,2026-09-14,,,,
030487,2018,https://media.ark.org/ardot/030487env.pdf,030487env.pdf,0,2026-09-14,,,,
030496,2018,https://media.ark.org/ardot/030496env.pdf,030496env.pdf,0,2026-09-14,,,,
